ID_MUN,MUNICIPIO,TOTAL,DODES,DOSE_INI,REFORCO,1a_DOSE,1o_REFORCO
150010,ABAETETUBA,2581,0,2471,0,0,110
150013,ABEL FIGUEIREDO,167,0,166,0,0,1
150020,ACARA,1255,0,1099,0,0,156
150030,AFUA,744,0,743,0,0,1
150034,AGUA AZUL DO NORTE,161,0,131,0,0,30
150040,ALENQUER,995,0,984,1,8,2
150050,ALMEIRIM,1117,0,1107,0,0,10
150060,ALTAMIRA,4655,0,4483,0,2,170
150070,ANAJAS,890,0,890,0,0,0
150080,ANANINDEUA,8539,0,7946,60,17,516
150085,ANAPU,1130,0,1129,0,0,1
150090,AUGUSTO CORREA,1135,0,1094,0,0,41
150095,AURORA DO PARA,521,0,515,0,0,6
150100,AVEIRO,465,0,464,0,0,1
150110,BAGRE,827,0,793,0,0,34
150120,BAIAO,614,0,598,0,0,16
150125,BANNACH,95,0,93,0,0,2
150130,BARCARENA,3970,0,3824,0,0,146
150140,BELEM,36073,0,31426,2,1,4644
150145,BELTERRA,470,0,455,0,0,15
150150,BENEVIDES,953,0,942,0,0,11
150157,BOM JESUS DO TOCANTINS,409,0,396,0,1,12
150160,BONITO,245,0,229,0,5,11
150170,BRAGANCA,2321,0,2225,0,0,96
150172,BRASIL NOVO,490,0,479,0,0,11
150175,BREJO GRANDE DO ARAGUAIA,149,0,148,0,0,1
150178,BREU BRANCO,487,0,481,0,0,6
150180,BREVES,2068,0,1999,0,0,69
150190,BUJARU,488,0,488,0,0,0
150195,CACHOEIRA DO PIRIA,337,0,299,20,17,1
150200,CACHOEIRA DO ARARI,422,0,419,0,0,3
150210,CAMETA,2010,0,2000,0,0,10
150215,CANAA DOS CARAJAS,2427,0,2419,0,0,8
150220,CAPANEMA,1452,0,1258,0,0,194
150230,CAPITAO POCO,1027,0,1023,0,0,4
150240,CASTANHAL,5587,0,5116,0,0,471
150250,CHAVES,490,0,487,1,0,2
150260,COLARES,195,0,192,0,0,3
150270,CONCEICAO DO ARAGUAIA,476,0,451,0,1,24
150275,CONCORDIA DO PARA,646,0,646,0,0,0
150276,CUMARU DO NORTE,79,0,79,0,0,0
150277,CURIONOPOLIS,699,0,622,0,0,77
150280,CURRALINHO,674,0,672,0,0,2
150285,CURUA,395,0,394,1,0,0
150290,CURUCA,639,0,579,0,0,60
150293,DOM ELISEU,1337,0,1332,0,0,5
150295,ELDORADO DOS CARAJAS,291,0,289,0,0,2
150300,FARO,225,0,219,0,0,6
150304,FLORESTA DO ARAGUAIA,315,0,293,0,0,22
150307,GARRAFAO DO NORTE,800,0,529,0,0,271
150309,GOIANESIA DO PARA,525,1,522,0,0,2
150310,GURUPA,661,0,655,0,0,6
150320,IGARAPE-ACU,1244,63,1151,0,0,30
150330,IGARAPE-MIRI,1146,0,1124,0,0,22
150340,INHANGAPI,354,0,348,0,0,6
150345,IPIXUNA DO PARA,968,0,961,0,0,7
150350,IRITUIA,458,0,444,0,0,14
150360,ITAITUBA,3426,0,3335,0,20,71
150370,ITUPIRANGA,534,0,528,0,0,6
150375,JACAREACANGA,438,0,430,0,0,8
150380,JACUNDA,1633,0,1632,0,0,1
150390,JURUTI,1602,0,1600,0,0,2
150400,LIMOEIRO DO AJURU,531,0,531,0,0,0
150405,MAE DO RIO,862,0,848,0,0,14
150410,MAGALHAES BARATA,128,0,128,0,0,0
150420,MARABA,9103,0,8816,0,1,286
150430,MARACANA,259,0,254,0,0,5
150440,MARAPANIM,255,0,249,0,0,6
150442,MARITUBA,2011,0,1751,0,1,259
150445,MEDICILANDIA,510,0,508,0,0,2
150450,MELGACO,796,0,791,0,0,5
150460,MOCAJUBA,421,0,414,0,0,7
150470,MOJU,962,0,792,0,0,170
150475,MOJUI DOS CAMPOS,283,0,280,0,0,3
150480,MONTE ALEGRE,1057,0,995,5,35,22
150490,MUANA,524,0,506,0,0,18
150495,NOVA ESPERANCA DO PIRIA,626,0,619,0,0,7
150497,NOVA IPIXUNA,222,0,222,0,0,0
150500,NOVA TIMBOTEUA,331,0,314,0,0,17
150503,NOVO PROGRESSO,1723,0,1718,0,0,5
150506,NOVO REPARTIMENTO,2416,0,2363,3,8,42
150510,OBIDOS,1230,0,1204,0,0,26
150520,OEIRAS DO PARA,733,0,726,0,0,7
150530,ORIXIMINA,1663,0,1655,1,1,6
150540,OUREM,419,0,412,0,0,7
150543,OURILANDIA DO NORTE,1246,0,1230,0,3,13
150548,PACAJA,798,0,792,0,0,6
150549,PALESTINA DO PARA,142,0,142,0,0,0
150550,PARAGOMINAS,3603,0,3528,11,4,60
150553,PARAUAPEBAS,11872,0,11818,0,1,53
150555,PAU D\'ARCO,218,0,193,0,0,25
150560,PEIXE-BOI,116,0,114,0,0,2
150563,PICARRA,382,0,375,0,0,7
150565,PLACAS,245,0,245,0,0,0
150570,PONTA DE PEDRAS,601,0,586,0,0,15
150580,PORTEL,2073,0,2061,0,0,12
150590,PORTO DE MOZ,1493,0,1484,0,0,9
150600,PRAINHA,619,0,618,0,0,1
150610,PRIMAVERA,283,0,235,0,0,48
150611,QUATIPURU,335,0,328,0,0,7
150613,REDENCAO,1807,0,1576,0,0,231
150616,RIO MARIA,495,0,454,0,0,41
150618,RONDON DO PARA,960,0,933,0,0,27
150619,RUROPOLIS,675,0,665,0,0,10
150620,SALINOPOLIS,726,0,704,0,0,22
150630,SALVATERRA,532,0,532,0,0,0
150635,SANTA BARBARA DO PARA,669,0,641,0,0,28
150640,SANTA CRUZ DO ARARI,113,0,113,0,0,0
150650,SANTA IZABEL DO PARA,1104,0,1050,0,0,54
150655,SANTA LUZIA DO PARA,370,0,366,0,0,4
150658,SANTA MARIA DAS BARREIRAS,283,0,274,4,0,5
150660,SANTA MARIA DO PARA,335,0,307,0,0,28
150670,SANTANA DO ARAGUAIA,1003,0,959,2,0,42
150680,SANTAREM,7982,0,7008,0,26,948
150690,SANTAREM NOVO,124,0,112,0,0,12
150700,SANTO ANTONIO DO TAUA,628,0,623,0,0,5
150710,SAO CAETANO DE ODIVELAS,281,0,269,0,0,12
150715,SAO DOMINGOS DO ARAGUAIA,572,0,568,0,0,4
150720,SAO DOMINGOS DO CAPIM,780,0,780,0,0,0
150730,SAO FELIX DO XINGU,1513,0,1370,1,4,138
150740,SAO FRANCISCO DO PARA,328,0,304,0,0,24
150745,SAO GERALDO DO ARAGUAIA,463,0,452,0,0,11
150746,SAO JOAO DA PONTA,136,0,136,0,0,0
150747,SAO JOAO DE PIRABAS,332,0,329,0,0,3
150750,SAO JOAO DO ARAGUAIA,346,0,294,0,0,52
150760,SAO MIGUEL DO GUAMA,992,0,988,0,0,4
150770,SAO SEBASTIAO DA BOA VISTA,616,0,614,0,0,2
150775,SAPUCAIA,123,0,123,0,0,0
150780,SENADOR JOSE PORFIRIO,414,0,361,0,0,53
150790,SOURE,238,0,238,0,0,0
150795,TAILANDIA,3553,0,3452,3,11,87
150796,TERRA ALTA,129,0,126,0,0,3
150797,TERRA SANTA,336,0,316,0,0,20
150800,TOME-ACU,2004,0,1938,0,0,66
150803,TRACUATEUA,422,0,382,0,0,40
150805,TRAIRAO,595,0,589,0,0,6
150808,TUCUMA,960,0,939,0,0,21
150810,TUCURUI,1953,0,1925,0,0,28
150812,ULIANOPOLIS,995,0,983,0,0,12
150815,URUARA,876,0,861,0,0,15
150820,VIGIA,1172,0,1057,0,0,115
150830,VISEU,1369,0,1242,1,0,126
150835,VITORIA DO XINGU,558,0,554,0,0,4
150840,XINGUARA,1522,0,1445,0,0,77
